RSI,MeanToStdDev,PL
26.07914,-1.558208,WeakSell
30.5469,-1.458172,WeakSell
30.06936,-0.9363298,WeakSell
39.99842,-0.8907342,WeakSell
41.16263,-1.389223,WeakSell
34.88719,-1.312922,WeakSell
37.38934,-1.485202,WeakSell
34.20377,-1.735887,WeakBuy
31.54743,-1.656692,WeakBuy
28.53847,-1.327738,WeakSell
33.84628,-1.174693,WeakSell
34.32661,-1.062554,WeakSell
35.65615,-0.3469445,Sell
49.69358,-0.07349427,Sell
50.01594,-1.000605,WeakSell
38.29163,-0.8030447,WeakSell
40.59997,-1.081624,WeakSell
36.15759,-1.434754,WeakSell
36.13782,-1.216769,WeakSell
37.37366,-1.66663,WeakSell
35.37057,-1.420751,WeakSell
37.53223,-2.152462,WeakSell
32.49897,-2.367229,WeakSell
31.35231,-2.569471,WeakSell
30.75696,-2.251176,WeakSell
30.29871,-2.056931,WeakSell
29.82604,-2.10456,WeakSell
30.19437,-2.309325,WeakSell
29.48768,-2.606594,WeakBuy
26.32855,-2.145201,WeakBuy
27.86064,-1.958443,WeakBuy
27.80841,-1.554812,WeakBuy
28.99758,-1.391758,WeakSell
30.21931,-1.587899,WeakBuy
29.73025,-1.648127,WeakBuy
28.67561,-1.415295,WeakBuy
32.46044,-1.718916,WeakBuy
30.02395,-1.339879,WeakBuy
35.96677,-1.269388,WeakBuy
34.09429,-1.417848,Buy
30.63064,-1.275226,Buy
31.38164,-0.933027,Buy
32.6845,-0.390976,Buy
41.47201,-0.3118191,Buy
45.28911,-0.4163878,Buy
41.31742,0.05363179,Buy
48.58188,0.9088328,Buy
58.32895,0.9990091,Buy
56.53402,1.892135,WeakBuy
64.69005,2.544252,WeakBuy
67.2233,3.005214,WeakBuy
73.20023,2.240167,WeakBuy
66.82176,2.967253,WeakBuy
73.17295,2.961436,WeakSell
74.81859,3.141064,WeakSell
77.79063,2.678463,WeakSell
78.20574,2.500822,Sell
80.34391,2.250388,Sell
83.01449,1.676768,Sell
72.38,1.213798,WeakSell
63.81252,1.399223,Sell
66.52702,0.8732002,WeakSell
56.89572,0.7986854,WeakSell
57.72592,0.7090425,WeakSell
57.72832,1.027384,Sell
63.10213,1.034052,StrongSell
66.21448,0.7935016,StrongSell
61.84374,0.6000624,StrongSell
59.26516,0.03759766,Sell
51.44886,-0.1689981,Sell
49.8382,-0.8970988,Sell
41.81866,-1.199676,Sell
38.97367,-0.9157992,Sell
44.92315,-0.8291594,StrongSell
48.08153,-1.585753,Sell
41.31376,-2.104053,Sell
36.45753,-2.327688,Sell
35.28543,-2.25321,Sell
33.09855,-1.690057,StrongSell
38.20381,-3.145231,Sell
26.40923,-2.586168,Sell
28.40301,-2.603145,WeakSell
24.08489,-2.516983,WeakSell
21.56363,-2.333471,WeakSell
18.58208,-2.455514,WeakBuy
16.34613,-1.849012,WeakSell
