Date,Price,Open,High,Low,Change
2006-01-25,1.2246,1.2284,1.2324,1.2234,-0.28%
2006-01-24,1.2281,1.231,1.2326,1.2259,-0.25%
2006-01-23,1.2312,1.2141,1.2313,1.2138,1.43%
2006-01-20,1.2138,1.21,1.2142,1.2041,0.33%
2006-01-19,1.2098,1.2115,1.2125,1.2052,-0.06%
2006-01-18,1.2105,1.2107,1.2162,1.2071,-0.02%
2006-01-17,1.2107,1.2119,1.2145,1.205,-0.12%
2006-01-16,1.2121,1.2151,1.2177,1.2105,-0.14%
2006-01-13,1.2138,1.2037,1.2144,1.2026,0.86%
2006-01-12,1.2035,1.2125,1.2165,1.2005,-0.74%
2006-01-11,1.2125,1.2062,1.2146,1.2043,0.48%
2006-01-10,1.2067,1.2084,1.2111,1.2036,-0.17%
2006-01-09,1.2087,1.2147,1.2156,1.2051,-0.51%
2006-01-06,1.2149,1.2107,1.2182,1.2079,0.39%
2006-01-05,1.2102,1.2123,1.2123,1.2064,-0.21%
2006-01-04,1.2128,1.2012,1.2144,1.2003,0.97%
2006-01-03,1.2012,1.1824,1.2031,1.181,1.58%
2006-01-02,1.1825,1.1846,1.187,1.1801,-0.15%
2005-12-30,1.1843,1.1845,1.189,1.1778,-0.01%
2005-12-29,1.1844,1.1836,1.1884,1.1816,0.08%
2005-12-28,1.1835,1.1829,1.1936,1.1814,0.03%
2005-12-27,1.1831,1.1848,1.1881,1.1829,-0.14%
2005-12-26,1.1848,1.186,1.1867,1.1831,-0.23%
2005-12-23,1.1875,1.1869,1.1885,1.1829,0.05%
2005-12-22,1.1869,1.1837,1.1902,1.181,0.31%
2005-12-21,1.1832,1.1858,1.1912,1.1799,-0.32%
2005-12-20,1.187,1.2007,1.2015,1.1838,-1.12%
2005-12-19,1.2004,1.2027,1.204,1.1973,-0.07%
2005-12-16,1.2013,1.1975,1.2028,1.1934,0.29%
2005-12-15,1.1978,1.2001,1.2039,1.1934,-0.22%
2005-12-14,1.2004,1.1945,1.2063,1.193,0.56%
2005-12-13,1.1937,1.1952,1.1987,1.1903,-0.15%
2005-12-12,1.1955,1.1781,1.1984,1.1777,1.21%
2005-12-09,1.1812,1.182,1.1839,1.1764,-0.04%
2005-12-08,1.1817,1.1721,1.185,1.1701,0.81%
2005-12-07,1.1722,1.1785,1.1804,1.1702,-0.55%
2005-12-06,1.1787,1.1791,1.181,1.1755,0.03%
2005-12-05,1.1784,1.1704,1.1821,1.1688,0.57%
2005-12-02,1.1717,1.1734,1.1751,1.1662,-0.14%
2005-12-01,1.1734,1.1789,1.1805,1.1688,-0.47%
2005-11-30,1.1789,1.1778,1.1805,1.1755,0.03%
2005-11-29,1.1785,1.1845,1.1864,1.1738,-0.56%
2005-11-28,1.1851,1.1716,1.1905,1.1682,1.08%
2005-11-25,1.1724,1.1787,1.179,1.1708,-0.53%
2005-11-24,1.1787,1.1824,1.1827,1.1765,-0.28%
2005-11-23,1.182,1.182,1.1865,1.1761,0.07%
2005-11-22,1.1812,1.1728,1.1825,1.1684,0.72%
2005-11-21,1.1728,1.1776,1.1841,1.1717,-0.34%
2005-11-18,1.1768,1.1757,1.1795,1.1662,0.08%
2005-11-17,1.1759,1.1667,1.1765,1.1639,0.75%
2005-11-16,1.1672,1.1719,1.1738,1.1643,-0.42%
